标题;链接;作者;机构;国家;大学
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Nikolaos Stathas;Civil Engineering, University of Patras;Greece;University of Patras
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Luigi Di Sarno;Civil and Environmental Engineering, University of Liverpool;UK;University of Liverpool
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Jingren Wu;Institute of Risk and Disaster Reduction, University College London;UK;University College London
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Fabio Freddi;Civil, Environmental and Geomatic Engineering, University College London;UK;University College London
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Mario D’Aniello;Structures for Engineering and Architecture, University of Naples Federico II;Italy;University of Naples Federico II
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Stathis Bousias;Civil Engineering, University of Patras;Greece;University of Patras
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Raffaele Landolfo;Structures for Engineering and Architecture, University of Naples Federico II;Italy;University of Naples Federico II
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Esra Mete Güneyisi;Civil Engineering, Gaziantep University;Turkey;Gaziantep University
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Lambros Papagiannis;Civil Engineering, University of Patras;Greece;University of Patras
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Peter Damborg;Department of Veterinary and Animal Sciences, University of Copenhagen, Frederiksberg, 1870;Denmark;University of Copenhagen
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Fergus Allerton;Willows Veterinary Centre and Referral Service, Solihull, B90 4NH;UK;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Alain Bousquet-Mélou;INTHERES, University of Toulouse, Toulouse, 31076;France;University of Toulouse
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Chantal Britt;ESCMID Study Group for Veterinary Microbiology (ESGVM), Basel;Switzerland;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Petra Cagnardi;Department of Veterinary Medicine and Animal Sciences, Universita degli Studi di Milano, Milan, Lombardy, 26900;Italy;Universita degli Studi di Milano
