题目;链接;姓名;机构;国家;状态
Detection of abortifacient agents in domestic ruminants, with a specific focus on Coxiella burnetii;https://open-research-europe.ec.europa.eu/articles/5-94;;;;Awaiting Review
Data sharing in child and adolescent psychiatry research: Key challenges (and some potential solutions);https://open-research-europe.ec.europa.eu/articles/5-93;;;;Awaiting Review
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;Alev Kir;Olive Research Institute (ORI);Turkey;Normal
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;Ramisah Mohd Shah;Universiti Malaysia Terengganu;Malaysia;Normal
Responsible research impact: Ethics for making a difference;https://open-research-europe.ec.europa.eu/articles/5-92;Tula Brannelly;Auckland University of Technology;New Zealand;Normal
Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology;https://open-research-europe.ec.europa.eu/articles/5-91;;;;Awaiting Review
Navigating the shift towards sustainable digital building permits and building logbooks;https://open-research-europe.ec.europa.eu/articles/5-90/v1;Rupesh Kumar;Jindal Global University;India;Normal
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;Rosa Orlacchio;University-École Pratique des Hautes Études (EPHE);France;Normal
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;Pablo Luis López Espí;University of Alcalá;Spain;Normal
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63;Nathan Bossa;Duke University;USA;Normal
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63;Michael Riediker;Swiss Centre for Occupational and Environmental Health;Switzerland;Normal
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63;Ajay Vikram Singh;German Federal Institute for Risk Assessment (BfR);Germany;Normal
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Macaulay Mfon Owen;Universiti Tenaga Nasional;Malaysia;Normal
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Dylan Jubinville;University of Waterloo;Canada;Normal
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Peng Gao;Western Washington University;USA;Normal
Seeing is believing: How citizen science challenges riparian misconceptions;https://open-research-europe.ec.europa.eu/articles/5-89;;;;Awaiting Review
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;George Tsihrintzis;University of Piraeus;Greece;Normal
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;Phoebe Koundouri;Technical University of Denmark;Denmark;Normal
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation;https://open-research-europe.ec.europa.eu/articles/5-87;;;;Awaiting Review
Analysing stakeholder perceptions in organic farming using fuzzy cognitive maps;https://open-research-europe.ec.europa.eu/articles/5-86/v1;Şule Önsel Ekici;İstanbul University-Cerrahpaşa;Turkey;Normal
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Andrea Gonzalez-Montoro;I3M-CSIC-UPV;Spain;Normal
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Christos M. Michail;University of West Attica;Greece;Normal
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Gadir Ahmadov;Joint Institute for Nuclear Research Joliot-Curie 6;Russian Federation;Normal
Recovery and potential use for non-polyolefin materials after physical recycling of complex multilayers;https://open-research-europe.ec.europa.eu/articles/4-255;Dr. Zahid Iqbal Khan;Universiti Teknologi Malaysia;Malaysia;Normal
Recovery and potential use for non-polyolefin materials after physical recycling of complex multilayers;https://open-research-europe.ec.europa.eu/articles/4-255;Giusy Santomasi;Politecnico di Bari Dipartimento di Ingegneria Civile Ambientale del Territorio Edile e di Chimica (Ringgold ID: 124248);Italy;Normal
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;Marcelo Cardillo;University of Buenos Aires;Argentina;Normal
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;Eduardo Paixão;MONREPOS Archaeological Research Centre and Museum for Human Behavioural Evolution;Germany;Normal
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Eric A. Fong;The University of Alabama in Huntsville;USA;Normal
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Sara Kärrholm;Lund University;Sweden;Normal
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Nicola Cavalli;Università di Milano Bicocca;Italy;Normal
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Teodor Mihaela;“Mihai Viteazul” National Intelligence Academy;Romania;Normal
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Zihan Zhou;The Hong Kong University of Science and Technology;China;Normal
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Sandip Majumdar;University of Gour Banga;India;Normal
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161;Roberto Nascimbene;IUSS - University School for Advanced Studies;Italy;Normal
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161;Shahab Ramhormozian;Auckland University of Technology;New Zealand;Normal
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161;Aman Mwafy;United Arab Emirates University;United Arab Emirates;Normal
Numerical model of aluminothermic reduction vessel preheating and charge heating with graphite heating rods;https://open-research-europe.ec.europa.eu/articles/4-253;Kagan Benzesik;Istanbul Technical University;Turkey;Normal
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Luisa Marin;University of Insubria;Italy;Normal
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Federica Zardo;Danube University;Austria;Normal
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Paweł Kaczmarczyk;University of Warsaw;Poland;Normal
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Sofia Galani;Panteion University of Social and Political Sciences;Greece;Normal
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Richard Krueger;Columbia University;USA;Normal
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Kai Jonas;Maastricht University;The Netherlands;Normal
