题目;链接;Version编号;Version时间;Reviewer编号;状态
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;Version 2;2025-03-31;1;Approved
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;Version 2;2025-03-31;2;
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;Version 1;2025-02-06;1;Approved with Reservations
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;Version 1;2025-02-06;2;Approved
Responsible research impact: Ethics for making a difference;https://open-research-europe.ec.europa.eu/articles/5-92/v1;Version 1;2025-03-31;1;Approved with Reservations
Navigating the shift towards sustainable digital building permits and building logbooks;https://open-research-europe.ec.europa.eu/articles/5-90/v1;Version 1;2025-03-31;1;Approved with Reservations
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;Version 2;2025-03-31;1;Approved
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;Version 2;2025-03-31;2;
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;Version 1;2024-09-19;1;Approved with Reservations
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;Version 1;2024-09-19;2;Approved with Reservations
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63/v1;Version 2;2025-03-31;1;
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63/v1;Version 2;2025-03-31;2;Approved with Reservations
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63/v1;Version 2;2025-03-31;3;Not Approved
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63/v1;Version 1;2025-03-06;1;Approved
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63/v1;Version 1;2025-03-06;2;Approved with Reservations
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63/v1;Version 1;2025-03-06;3;
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 3;2025-03-31;1;
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 3;2025-03-31;2;Approved
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 3;2025-03-31;3;Approved
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 2;2025-02-06;1;
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 2;2025-02-06;2;Approved with Reservations
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 2;2025-02-06;3;Approved with Reservations
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 1;2024-03-04;1;Approved with Reservations
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 1;2024-03-04;2;Approved with Reservations
