题目,链接,发表时间,资助者个数,资助者名称,文章ID,标准化资助者名称,是否_H2020,是否_HEurope,是否_双重资助,是否_均无资助
"Detection of abortifacient agents in domestic ruminants, with a specific focus on Coxiella burnetii",https://open-research-europe.ec.europa.eu/articles/5-94,2025-03-31,1,Horizon 2020 Framework Programme,5-94,horizon 2020 framework programme,True,False,False,False
Data sharing in child and adolescent psychiatry research: Key challenges (and some potential solutions),https://open-research-europe.ec.europa.eu/articles/5-93,2025-03-31,1,Horizon 2020 Framework Programme,5-93,horizon 2020 framework programme,True,False,False,False
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials,https://open-research-europe.ec.europa.eu/articles/5-43,2025-03-31,1,Horizon Europe Framework Programme,5-43,horizon europe framework programme,False,True,False,False
Responsible research impact: Ethics for making a difference,https://open-research-europe.ec.europa.eu/articles/5-92,2025-03-31,2,Horizon Europe Framework Programme,5-92,horizon europe framework programme,False,True,False,False
Responsible research impact: Ethics for making a difference,https://open-research-europe.ec.europa.eu/articles/5-92,2025-03-31,2,"HORIZON EUROPE Digital, Industry and Space",5-92,"horizon europe digital, industry and space",False,True,False,False
Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology,https://open-research-europe.ec.europa.eu/articles/5-91,2025-03-31,2,Horizon 2020 Framework Programme,5-91,horizon 2020 framework programme,True,False,False,False
Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology,https://open-research-europe.ec.europa.eu/articles/5-91,2025-03-31,2,Université du Luxembourg,5-91,université du luxembourg,True,False,False,False
Navigating the shift towards sustainable digital building permits and building logbooks,https://open-research-europe.ec.europa.eu/articles/5-90/v1,2025-03-31,3,Horizon Europe Framework Programme,5-90,horizon europe framework programme,True,True,True,False
Navigating the shift towards sustainable digital building permits and building logbooks,https://open-research-europe.ec.europa.eu/articles/5-90/v1,2025-03-31,3,UK Research and Innovation,5-90,uk research and innovation,True,True,True,False
Navigating the shift towards sustainable digital building permits and building logbooks,https://open-research-europe.ec.europa.eu/articles/5-90/v1,2025-03-31,3,H2020 Marie Skłodowska-Curie Actions,5-90,h2020 marie skłodowska-curie actions,True,True,True,False
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions,https://open-research-europe.ec.europa.eu/articles/4-206,2025-03-31,1,Horizon Europe Framework Programme,4-206,horizon europe framework programme,False,True,False,False
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment,https://open-research-europe.ec.europa.eu/articles/5-63,2025-03-31,1,Horizon Europe Framework Programme,5-63,horizon europe framework programme,False,True,False,False
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors,https://open-research-europe.ec.europa.eu/articles/4-51/v2,2025-03-31,1,Horizon 2020 Framework Programme,4-51,horizon 2020 framework programme,True,False,False,False
Seeing is believing: How citizen science challenges riparian misconceptions,https://open-research-europe.ec.europa.eu/articles/5-89,2025-03-31,2,Horizon Europe Framework Programme,5-89,horizon europe framework programme,False,True,False,False
Seeing is believing: How citizen science challenges riparian misconceptions,https://open-research-europe.ec.europa.eu/articles/5-89,2025-03-31,2,NextGenerationEU,5-89,nextgenerationeu,False,True,False,False
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations,https://open-research-europe.ec.europa.eu/articles/5-88,2025-03-31,3,Horizon 2020 Framework Programme,5-88,horizon 2020 framework programme,True,True,True,False
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations,https://open-research-europe.ec.europa.eu/articles/5-88,2025-03-31,3,Horizon Europe Framework Programme,5-88,horizon europe framework programme,True,True,True,False
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations,https://open-research-europe.ec.europa.eu/articles/5-88,2025-03-31,3,LIFE programme,5-88,life programme,True,True,True,False
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation,https://open-research-europe.ec.europa.eu/articles/5-87,2025-03-31,3,Horizon 2020 Framework Programme,5-87,horizon 2020 framework programme,True,True,True,False
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation,https://open-research-europe.ec.europa.eu/articles/5-87,2025-03-31,3,Horizon Europe Framework Programme,5-87,horizon europe framework programme,True,True,True,False
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation,https://open-research-europe.ec.europa.eu/articles/5-87,2025-03-31,3,European Research Council,5-87,european research council,True,True,True,False
Analysing stakeholder perceptions in organic farming using fuzzy cognitive maps,https://open-research-europe.ec.europa.eu/articles/5-86,2025-03-31,1,Horizon 2020 Framework Programme,5-86,horizon 2020 framework programme,True,False,False,False
