题目;链接;发表时间;资助者个数;资助者名称
Detection of abortifacient agents in domestic ruminants, with a specific focus on Coxiella burnetii;https://open-research-europe.ec.europa.eu/articles/5-94;2025-03-31;1;Horizon 2020 Framework Programme
Data sharing in child and adolescent psychiatry research: Key challenges (and some potential solutions);https://open-research-europe.ec.europa.eu/articles/5-93;2025-03-31;1;Horizon 2020 Framework Programme
Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials;https://open-research-europe.ec.europa.eu/articles/5-43;2025-03-31;1;Horizon Europe Framework Programme
Responsible research impact: Ethics for making a difference;https://open-research-europe.ec.europa.eu/articles/5-92;2025-03-31;2;Horizon Europe Framework Programme
Responsible research impact: Ethics for making a difference;https://open-research-europe.ec.europa.eu/articles/5-92;2025-03-31;2;HORIZON EUROPE Digital, Industry and Space
Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology;https://open-research-europe.ec.europa.eu/articles/5-91;2025-03-31;2;Horizon 2020 Framework Programme
Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology;https://open-research-europe.ec.europa.eu/articles/5-91;2025-03-31;2;Université du Luxembourg
Navigating the shift towards sustainable digital building permits and building logbooks;https://open-research-europe.ec.europa.eu/articles/5-90/v1;2025-03-31;3;Horizon Europe Framework Programme
Navigating the shift towards sustainable digital building permits and building logbooks;https://open-research-europe.ec.europa.eu/articles/5-90/v1;2025-03-31;3;UK Research and Innovation
Navigating the shift towards sustainable digital building permits and building logbooks;https://open-research-europe.ec.europa.eu/articles/5-90/v1;2025-03-31;3;H2020 Marie Skłodowska-Curie Actions
Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions;https://open-research-europe.ec.europa.eu/articles/4-206;2025-03-31;1;Horizon Europe Framework Programme
Particle Emissions by Mechanical Treatment of Nanocomposites: Emission Library and Applications in Exposure and Risk Assessment;https://open-research-europe.ec.europa.eu/articles/5-63;2025-03-31;1;Horizon Europe Framework Programme
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;2025-03-31;1;Horizon 2020 Framework Programme
