文件名,学科,研究类型,题目,链接,提交状态,同行评审状态,作者,资助者,同行评审者,发表时间
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,"Detection of abortifacient agents in domestic ruminants, with a specific focus on Coxiella burnetii",https://open-research-europe.ec.europa.eu/articles/5-94,N/A,[version 1; peer review: awaiting peer review],René van den Brom; Susan Neale; Elsa Jourdain; Anneleen Matthijs; Marcella Mori; Elodie Rousset; Katja Mertens-Scholz; Tom N. McNeilly; Ana Hurtado,Horizon 2020 Framework Programme,,2025-03-31
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Open Letter,"AgriPV system with climate, water and light spectrum control for safe, healthier and improved crop production",https://open-research-europe.ec.europa.eu/articles/4-267,N/A,"[version 2; peer review: 2 approved, 1 approved with reservations]",Miray Çelikbilek Ersundu; Ali Erçin Ersundu; Colin Osborne; Maria Ruiz,Horizon Europe Framework Programme,Silvia Ma Lu; Sharon Hilarydoss; Meita Rumbayan,2025-03-06
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,"Effect of water salinity and dietary supplementation with Microchloropsis gaditana on growth, health, quality and microbiota of Barramundi Lates calcarifer",https://open-research-europe.ec.europa.eu/articles/5-58,N/A,[version 1; peer review: 1 not approved],Giovanni Marco Cusimano; Pablo Sánchez Cueto; Salvador Lladó; Simona Paolacci; Jui-Che Chiang; Natalie E. Panasiak; Radu Ghemis; Montse Bosch; Marcos Parras-Moltó; Dorinde Kleinegris; Florian Nagel; Simeon Deguara; Freya Robinson; Tamás Bardócz,Horizon 2020 Framework Programme,Zelia Velez,2025-03-03
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,Microhomology-mediated end-joining Knock-In approaches to delete the allergenic domain of trout parvalbumin beta-1. Preliminary results in F0 animals and feedback,https://open-research-europe.ec.europa.eu/articles/4-235,N/A,"[version 2; peer review: 2 approved, 1 approved with reservations]",Veronique Lebret; Cecile Duret; Amaury Herpin; Pierre-yves Rescan,Horizon 2020 Framework Programme,Jitendra Kumar Sundaray; Qing Xiong; Joana Costa,2025-02-25
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,European agrifood and forestry education for a sustainable future - Gap analysis from an informatics approach,https://open-research-europe.ec.europa.eu/articles/4-93,N/A,"[version 3; peer review: 1 approved, 6 approved with reservations]",Stephen Burleigh; Håkan Jönsson,Horizon 2020 Framework Programme,Davide Viaggi; Gabriella Arcese; Jacques H. Trienekens; Giampiero Mazzocchi; Roberto Henke; Mika Rekola; Sara Burbi; Md Manik Ali,2025-01-15
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Review,Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.,https://open-research-europe.ec.europa.eu/articles/4-125,N/A,[version 2; peer review: 2 approved],Helena Rodrigues; Marta Leite; Beatriz Oliveira; Andreia Freitas,European Cooperation in Science and Technology,Jelena ĆIRIĆ; Juraj Majtan,2024-11-08
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Open Letter,Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach,https://open-research-europe.ec.europa.eu/articles/4-151,N/A,[version 2; peer review: 2 approved],Luke John Schafer; Aida Anthouli; Alessandra Schmidt; Anita Beblek; Annika Fruehbeisser; Beatrice Walthall; Carla Mingolla; Catalina Rogozan; Damiano Petruzzella; Dirk Wascher; Francesca Volpe; Giordano Ruggeri; Gustavo Arciniegas; Jose Luis Vicente-Vicente; Katerina Riviou; Katerina Valta; Lena Marijke Wenzel; Lorenzo Labellarte; Maarten Crivits; Malgorzata Swiader; Marin Lysak; Marta Sylla; Poppy Eyre; Raluca Barbu; Stefano Corsi; Christian Bugge Henriksen,Horizon 2020 Framework Programme,M.G van der Meij; Tiffanie Stone,2024-10-25
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Case Study,Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe,https://open-research-europe.ec.europa.eu/articles/4-222,N/A,[version 1; peer review: 3 not approved],Patrick Burgess; Kiril Mihalev; Aleksandar Yovchev; Andreas Schieber; Georgi Georgiev,Erasmus+,Giovanni Esposito; Walloon Alberti; Kieran Higgins; Alison Calvert; Riccardo Accorsi,2024-10-17
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,"Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation",https://open-research-europe.ec.europa.eu/articles/3-125,N/A,"[version 2; peer review: 2 approved, 1 approved with reservations]",Léo GIRARD; Alexander WEZEL; Joël ROBIN,Horizon Europe Framework Programme,Christopher Bacon; Eric Fouilland; Koushik Roy,2024-10-15
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,Decision Support Systems adoption in pesticide management,https://open-research-europe.ec.europa.eu/articles/4-142,N/A,"[version 2; peer review: 2 approved, 2 approved with reservations]",Jotham Jea Akaka; Aurora García-Gallego; Nikolaos Georgantzis; Jean-Christian Tisserand; Efi Vasileiou; Mark Ramsden,Horizon 2020 Framework Programme; MCIN/ AEI Spain,David H Gent; Yiorgos Gadanakis; Andrea Sciarretta; James A. Turner,2024-09-26
